position,full_name,gsis_id,team,Total_touches,Total_HVT,TRAP,total_fantasy_points,total_fantasy_points_exp,games,season,ppg,xppg,HVT_perc,rank,pos_rank,ATT,rush_yds,Y/A,LG,20+,rush_TD,REC,TGT,rec_yds,Y/R,rec_TD,FL,HVT_per_game,Touches_per_game
RB,Tyler Goodson,00-0037120,IND,19,7,0.631578947368421,18.1,23.09,6,2023,3.016666666666667,3.848333333333333,0.368421052631579,Other,95,13,87,6.7,31,2,0,6,9,34,5.7,0,0,1.1666666666666667,3.1666666666666665
RB,Boston Scott,00-0034414,PHI,24,5,0.7916666666666666,17.8,21.15,10,2023,1.78,2.115,0.20833333333333337,Other,99,20,86,4.3,18,0,0,4,6,52,13,0,1,0.5,2.4
RB,Raheem Blackshear,00-0037429,CAR,20,6,0.7,17.099999999999998,16.7,8,2023,2.1374999999999997,2.0875,0.30000000000000004,Other,96,14,46,3.3,9,0,0,6,7,45,7.5,0,0,0.75,2.5
RB,Patrick Ricard,00-0033376,BAL,5,5,0,16.2,13.72,6,2023,2.6999999999999997,2.286666666666666,1,Other,98,0,0,0,0,0,0,5,7,52,10.4,1,0,0.8333333333333334,0.8333333333333334
RB,Deuce Vaughn,00-0038622,DAL,30,8,0.7333333333333333,15,23.69,6,2023,2.5,3.948333333333333,0.2666666666666667,Other,100,23,40,1.7,13,0,0,7,7,40,5.7,0,0,1.3333333333333333,5
RB,Trayveon Williams,00-0035291,CIN,22,8,0.6363636363636364,14.9,21.64,14,2023,1.0642857142857145,1.5457142857142858,0.3636363636363637,Other,101,15,69,4.6,15,0,0,7,9,10,1.4,0,0,0.5714285714285714,1.5714285714285714
RB,Emanuel Wilson,00-0038797,GB,18,4,0.7777777777777778,14.8,13.91,5,2023,2.96,2.782,0.2222222222222222,Other,102,14,85,6.1,31,2,0,4,5,23,5.8,0,0,0.8,3.6
RB,Keaontay Ingram,00-0037299,KC,39,5,0.8717948717948718,14,22.69,7,2023,2,3.2414285714285715,0.1282051282051282,Other,104,35,74,2.1,14,0,0,4,4,26,6.5,0,0,0.7142857142857143,5.571428571428571
RB,La'Mical Perine,00-0036269,KC,25,5,0.8,13.999999999999998,19.74,2,2023,6.999999999999999,9.87,0.19999999999999996,Other,103,22,77,3.5,10,0,0,3,5,33,11,0,0,2.5,12.5
RB,Mike Boone,00-0034208,CAR,12,7,0.4166666666666667,13.3,14.78,7,2023,1.9,2.111428571428571,0.5833333333333333,Other,105,5,23,4.6,11,0,0,7,9,40,5.7,0,0,1,1.7142857142857142
RB,Eric Gray,00-0038396,NYG,23,6,0.7391304347826086,13,17.55,5,2023,2.6,3.51,0.26086956521739135,Other,106,17,48,2.8,12,0,0,6,7,22,3.7,0,0,1.2,4.6
RB,Hunter Luepke,00-0038738,DAL,9,5,0.4444444444444444,12.7,11.54,6,2023,2.1166666666666667,1.9233333333333331,0.5555555555555556,Other,107,6,19,3.2,9,0,1,3,4,18,6,0,0,0.8333333333333334,1.5
RB,DeeJay Dallas,00-0036425,SEA,16,6,0.625,12.2,16.39,10,2023,1.22,1.639,0.375,Other,116,10,36,3.6,8,0,0,6,9,26,4.3,0,2,0.6,1.6
