position,full_name,gsis_id,team,Total_touches,Total_HVT,total_fantasy_points,total_fantasy_points_exp,games,season,ppg,xppg,Touch_type,percentage,label_y,Rank
RB,Isiah Pacheco,00-0037197,KC,249,64,213.9,216.73,14,2023,15.278571428571428,15.480714285714285,HVT_perc,0.2570281124497992,0.8714859437751004,RB2
RB,Jerome Ford,00-0037267,CLE,248,54,211.20000000000002,202.12,17,2023,12.423529411764706,11.889411764705883,TRAP,0.782258064516129,0.3911290322580645,RB2
RB,Jerome Ford,00-0037267,CLE,248,54,211.20000000000002,202.12,17,2023,12.423529411764706,11.889411764705883,HVT_perc,0.217741935483871,0.8911290322580645,RB2
RB,David Montgomery,00-0035685,DET,235,47,205.2,191.74,14,2023,14.657142857142857,13.695714285714287,TRAP,0.8,0.4,RB2
RB,David Montgomery,00-0035685,DET,235,47,205.2,191.74,14,2023,14.657142857142857,13.695714285714287,HVT_perc,0.19999999999999996,0.9,RB2
RB,James Conner,00-0033553,ARI,235,45,201.5,173.84,13,2023,15.5,13.372307692307693,TRAP,0.8085106382978723,0.40425531914893614,RB2
RB,James Conner,00-0033553,ARI,235,45,201.5,173.84,13,2023,15.5,13.372307692307693,HVT_perc,0.19148936170212771,0.9042553191489362,RB2
RB,Kenneth Walker,00-0038134,SEA,248,48,199.4,194.51,15,2023,13.293333333333333,12.967333333333332,TRAP,0.8064516129032258,0.4032258064516129,RB2
RB,Kenneth Walker,00-0038134,SEA,248,48,199.4,194.51,15,2023,13.293333333333333,12.967333333333332,HVT_perc,0.19354838709677424,0.9032258064516129,RB2
RB,D'Andre Swift,00-0036275,PHI,268,66,199.3,216.62,16,2023,12.45625,13.53875,TRAP,0.753731343283582,0.376865671641791,RB2
RB,D'Andre Swift,00-0036275,PHI,268,66,199.3,216.62,16,2023,12.45625,13.53875,HVT_perc,0.24626865671641796,0.8768656716417911,RB2
RB,Brian Robinson,00-0037746,WAS,214,49,198.1,166.93,15,2023,13.206666666666667,11.128666666666668,TRAP,0.7710280373831776,0.3855140186915888,RB2
RB,Brian Robinson,00-0037746,WAS,214,49,198.1,166.93,15,2023,13.206666666666667,11.128666666666668,HVT_perc,0.2289719626168224,0.8855140186915889,RB2
RB,Jaylen Warren,00-0037228,PIT,210,69,196.4,189.43,17,2023,11.552941176470588,11.142941176470588,TRAP,0.6714285714285714,0.3357142857142857,RB2
RB,Jaylen Warren,00-0037228,PIT,210,69,196.4,189.43,17,2023,11.552941176470588,11.142941176470588,HVT_perc,0.3285714285714286,0.8357142857142856,RB2
RB,Najee Harris,00-0036893,PIT,284,52,195.5,198.23,17,2023,11.5,11.660588235294117,TRAP,0.8169014084507042,0.4084507042253521,RB2
RB,Najee Harris,00-0036893,PIT,284,52,195.5,198.23,17,2023,11.5,11.660588235294117,HVT_perc,0.18309859154929575,0.9084507042253521,RB2
RB,De'Von Achane,00-0039040,MIA,130,38,190.7,130.26,11,2023,17.336363636363636,11.841818181818182,TRAP,0.7076923076923077,0.35384615384615387,RB2
RB,De'Von Achane,00-0039040,MIA,130,38,190.7,130.26,11,2023,17.336363636363636,11.841818181818182,HVT_perc,0.29230769230769227,0.8538461538461539,RB2
RB,Gus Edwards,00-0034184,BAL,210,42,187,165.48,17,2023,11,9.734117647058824,TRAP,0.8,0.4,RB3
